월,일자,두께,소재폭,제품폭,마진,두께그룹,폭그룹,마진그룹,강종,품명그룹,기준장력,No.,생산일,라인,생산지시번호,작업장,소재번호,소유,품명,유형,재질,Size,수량,소재중량,소재길이,제품번호,제품구분,생산중량,수율(%),Size.1,단중,중량,Gross중량,도유,장력1,스피드1,장력2,스피드2,장력3,스피드3,장력,스피드,수요가,OK,NG
5,44337,1.4,1253.2,1253.2,0.0,1.4≤t＜1.5,1200≤w＜1300,정정,일반,GI 외,350,1598,20210521,STL,DP210517282,OO철강(주)XX공장,21/CRK148-C01,임가공,CR,Skelp,CR3 SPCEN,1.49 x 1253.2 x C,1,28440,1957.0,21/CRK148-P04,제품,28420,99.93,1.49 x 1253.2 x C,7060.0,7060,7110,AH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
6,44371,1.1,942.0,924.0,18.0,1.1≤t＜1.2,900≤w＜1000,6mm↑,일반,GI 외,240,1966,20210624,STL,DP210621062,OO철강(주)XX공장,21/CRS008-C01,임가공,CR,Skelp,SPCC,1.178 x 942 x C,1,20130,2325.0,21/CRS008-P02,제품,19710,97.91,1.178 x 924 x C,9900.0,9900,9873,AH,330.0,157.0,326.0,156.0,320.0,147.0,325,153,OO제철(주)XX,1,0
3,44263,4.0,1268.6,1251.0,17.59999999999991,1.9≤t＜5.0,1200≤w＜1300,6mm↑,일반,GI 외,430,636,20210308,STL,DP210302024,OO철강(주)XX공장,21/BAR7131-C01,임가공,PO,Skelp,EN-S355MC,4.018 x 1268.6 x C,1,24870,622.0,21/BAR7131-P01,제품,24490,98.47,4.018 x 1251 x C,24490.0,24490,24525,AG,203.0,39.0,247.0,39.0,303.0,38.0,251,39,OO제철(주)XX,0,1
5,44330,1.5,1221.6,1221.6,0.0,1.5≤t＜1.6,1200≤w＜1300,정정,일반,GI 외,360,1525,20210514,STL,DP210512101,OO철강(주)XX공장,21/BAT0219C-C01,임가공,GI,Skelp,A653-CS/B,1.541 x 1221.6 x C,1,8320,577.0,21/BAT0219C-P01,제품,8310,99.88,1.541 x 1221.6 x C,8310.0,8310,8320,XX,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
7,44407,0.8,1545.2,1530.0,15.200000000000044,0.8≤t＜0.9,1500≤w＜1600,6mm↑,일반,GI 외,290,2299,20210730,STL,DP210729041,OO철강(주)XX공장,21/BAV7714-C01,임가공,GI,Skelp,KS-SGCC,0.807 x 1545.2 x C,1,29450,3058.0,21/BAV7714-P06,제품,29180,99.08,0.807 x 1530 x C,4810.0,4810,4860,XX,428.0,201.0,420.0,201.0,312.0,135.0,387,179,OO제철(주)XX,1,0
1,44216,0.7,1114.4,1096.0,18.40000000000009,0.7≤t＜0.8,1000≤w＜1100,6mm↑,일반,GI 오일링,220,260,20210120,STL,DP210111035,OO철강(주)XX공장,21/BAQ3593-C01,임가공,GI,Skelp,EN-DX54D+Z,0.7 x 1114.4 x C,1,15550,2559.0,21/BAQ3593-P02,제품,15300,98.39,0.7 x 1096 x C,7650.0,7650,7647,F1,350.0,162.0,335.0,162.0,312.0,154.0,332,159,OO제철(주)XX,1,0
5,44333,3.1,1286.2,1286.2,0.0,1.9≤t＜5.0,1200≤w＜1300,정정,일반,GI 외,430,1527,20210517,STL,DP210512096,OO철강(주)XX공장,21/BAT3729-C01,임가공,HG,Skelp,JS-SGHC,3.188 x 1286.2 x C,1,22520,701.0,21/BAT3729-P01,제품,22510,99.96,3.188 x 1286.2 x C,22510.0,22510,22520,XX,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
2,44245,2.3,1148.7,1148.7,0.0,1.9≤t＜5.0,1100≤w＜1200,정정,60K,GI 외,410,576,20210218,STL,DP210216033,OO철강(주)XX공장,21/BAR5162A-C01,임가공,PO,Skelp,ISH SPFH590DP-P,2.307 x 1148.7 x C,1,12740,619.0,21/BAR5162A-P01,제품,12720,99.84,2.307 x 1148.7 x C,12720.0,12720,12740,AH,331.0,99.0,388.0,103.0,474.0,86.0,398,96,OO제철(주)XX,0,1
5,44329,0.8,1541.3,1530.0,11.299999999999956,0.8≤t＜0.9,1500≤w＜1600,6mm↑,일반,GI 외,290,1497,20210513,STL,DP210503120,OO철강(주)XX공장,21/BAT6323-C01,임가공,GI,Skelp,KS-SGCC,0.805 x 1541.3 x C,1,26050,2716.0,21/BAT6323-P04,제품,25850,99.23,0.805 x 1530 x C,5170.0,5170,5172,XX,345.0,148.0,343.0,158.0,315.0,140.0,334,149,OO제철(주)XX,1,0
7,44397,0.6,1199.4,1192.0,7.400000000000091,0.6≤t＜0.7,1100≤w＜1200,6mm↑,일반,GI 외,200,2142,20210720,STL,DP210719111,OO철강(주)XX공장,21/CRV784ZB-C01,임가공,AC,Skelp,KS-SA1D,0.626 x 1199.4 x C,1,4680,832.0,21/CRV784ZB-P01,제품,4630,98.93,0.626 x 1192 x C,4630.0,4630,4651,AL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
4,44291,1.3,901.9,901.9,0.0,1.3≤t＜1.4,900≤w＜1000,정정,일반,GI 외,270,898,20210405,STL,DP210330071,OO철강(주)XX공장,21/BAR3330B-C01,임가공,GA,Skelp,SGACC,1.38 x 901.9 x C,1,9320,953.0,21/BAR3330B-P01,제품,9110,97.75,1.38 x 901.9 x C,9110.0,9110,9320,AG,419.0,152.0,422.0,152.0,398.0,130.0,413,145,OO제철(주)XX,1,0
2,44239,1.5,1063.0,1063.0,0.0,1.5≤t＜1.6,1000≤w＜1100,정정,일반,GI 외,330,513,20210212,STL,DP210211060,OO철강(주)XX공장,21/BAQ9133B-C01,임가공,GA,Skelp,SGARC340,1.597 x 1063 x C,1,11930,913.0,21/BAQ9133B-P01,제품,11990,100.5,1.597 x 1063 x C,11990.0,11990,11930,AG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
5,44342,0.6,1589.3,1373.0,216.29999999999995,0.6≤t＜0.7,1300≤w＜1400,6mm↑,일반,GI 오일링,240,1663,20210526,STL,DP210517281,OO철강(주)XX공장,21/BAT3120-C01,임가공,GI,Skelp,FEP05+Z,0.651 x 1589.3 x C,1,29560,3678.0,21/BAT3120-P01,제품,25550,86.43,0.651 x 1373 x C,12790.0,12790,12768,AH,298.0,157.0,300.0,153.0,316.0,155.0,305,155,OO제철(주)XX,1,0
2,44232,3.2,1248.6,1059.0,189.5999999999999,1.9≤t＜5.0,1000≤w＜1100,6mm↑,60K,GI 외,380,473,20210205,STL,DP210201085,OO철강(주)XX공장,21/BAQ4331A-C01,임가공,GA,Skelp,SGAFH590FB,3.229 x 1248.6 x C,1,14160,451.0,21/BAQ4331A-P01,제품,12080,85.31,3.229 x 1059 x C,12080.0,12080,12010,AH,324.0,55.0,406.0,55.0,472.0,49.0,401,53,OO제철(주)XX,0,1
2,44242,0.6,890.9,870.0,20.899999999999977,0.6≤t＜0.7,800≤w＜900,6mm↑,일반,GI 오일링,200,559,20210215,STL,DP210208149,OO철강(주)XX공장,21/BAQ6439-C01,임가공,GI,Skelp,PSA-ES+Z,0.679 x 890.9 x C,1,15260,3250.0,21/BAQ6439-P01,제품,14910,97.71,0.679 x 870 x C,14910.0,14910,14902,QG,249.0,152.0,272.0,152.0,311.0,147.0,277,150,OO제철(주)XX,1,0
3,44280,0.7,1556.0,1394.0,162.0,0.7≤t＜0.8,1300≤w＜1400,6mm↑,일반,GI 외,230,813,20210325,STL,DP210323058,OO철강(주)XX공장,21/BAR0191C-C01,임가공,GA,Skelp,SGACUD,0.708 x 1556 x C,1,10410,1211.0,21/BAR0191C-P01,제품,9240,88.76,0.708 x 1394 x C,9240.0,9240,9326,AL,368.0,152.0,361.0,152.0,343.0,143.0,357,149,OO제철(주)XX,1,0
5,44334,0.7,1274.4,1274.4,0.0,0.7≤t＜0.8,1200≤w＜1300,정정,일반,GI 외,220,1533,20210518,STL,DP210512010,OO철강(주)XX공장,21/BAT4276BA-C01,임가공,GA,Skelp,SGARC340,0.7 x 1274.4 x C,1,7430,1072.0,21/BAT4276BA-P01,제품,7430,100.0,0.7 x 1274.4 x C,7430.0,7430,7430,AG,305.0,131.0,315.0,144.0,302.0,137.0,307,137,OO제철(주)XX,1,0
1,44222,1.4,821.4,804.0,17.399999999999977,1.4≤t＜1.5,800≤w＜900,6mm↑,80K,GI 외,280,328,20210126,STL,DP210111095,OO철강(주)XX공장,21/CQG775-C01,임가공,CR,Skelp,SPFC780DP,1.42 x 821.4 x C,1,13740,1527.0,21/CQG775-P01,제품,13510,98.33,1.42 x 804 x C,13510.0,13510,13449,AH,341.0,163.0,349.0,166.0,347.0,149.0,346,159,OO제철(주)XX,1,0
2,44231,1.0,1770.1,1770.1,0.0,1.0≤t＜1.1,1700≤w＜1800,정정,일반,GI 외,390,470,20210204,STL,DP210202170,OO철강(주)XX공장,21/BAR1229C-C01,임가공,GA,Skelp,SGARC340E,1.02 x 1770.1 x C,1,11280,812.0,21/BAR1229C-P01,제품,11280,100.0,1.02 x 1770.1 x C,2890.0,2890,11280,AH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
2,44238,0.6,1043.3,1043.3,0.0,0.6≤t＜0.7,1000≤w＜1100,정정,일반,GI 외,200,485,20210211,STL,DP210211047,OO철강(주)XX공장,21/BAQ8826A-C01,임가공,GA,Skelp,SGACUD,0.658 x 1043.3 x C,1,11140,2105.0,21/BAQ8826A-P01,제품,11200,100.54,0.658 x 1043.3 x C,11200.0,11200,11140,AG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
2,44242,0.6,889.4,870.0,19.399999999999977,0.6≤t＜0.7,800≤w＜900,6mm↑,일반,GI 오일링,200,564,20210215,STL,DP210208152,OO철강(주)XX공장,21/BAQ9241-C01,임가공,GI,Skelp,PSA-ES+Z,0.679 x 889.4 x C,1,20900,4464.0,21/BAQ9241-P02,제품,20460,97.89,0.679 x 870 x C,10240.0,10240,10222,QG,150.0,37.0,207.0,70.0,292.0,151.0,216,86,OO제철(주)XX,0,1
7,44379,0.6,1544.0,1419.0,125.0,0.6≤t＜0.7,1400≤w＜1500,6mm↑,일반,GI 외,220,1998,20210702,STL,DP210702042,OO철강(주)XX공장,21/BAU3001B-C01,임가공,GA,Skelp,SGACUD,0.661 x 1544 x C,1,21510,2732.0,21/BAU3001B-P02,제품,19740,91.77,0.661 x 1419 x C,9830.0,9830,9884,AG,260.0,120.0,270.0,121.0,267.0,119.0,266,120,OO제철(주)XX,1,0
5,44336,1.6,898.9,884.0,14.899999999999975,1.6≤t＜1.7,800≤w＜900,6mm↑,80K,GI 외,310,1555,20210520,STL,DP210503137,OO철강(주)XX공장,21/CRE841-C01,임가공,CR,Skelp,ISC SPFC780DP,1.614 x 898.9 x C,1,17550,1557.0,21/CRE841-P02,제품,17220,98.12,1.614 x 884 x C,8620.0,8620,8630,AH,400.0,152.0,388.0,151.0,376.0,145.0,388,149,OO제철(주)XX,1,0
5,44322,1.1,1210.1,1210.1,0.0,1.1≤t＜1.2,1200≤w＜1300,정정,일반,GI 외,310,1305,20210506,STL,DP210504051,OO철강(주)XX공장,21/BAT2072C-C01,임가공,CR,Skelp,EN-DC01 A,1.11 x 1210.1 x C,1,8410,806.0,21/BAT2072C-P01,제품,8380,99.64,1.11 x 1210.1 x C,8380.0,8380,8410,AG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
1,44202,0.7,1504.8,1490.0,14.799999999999956,0.7≤t＜0.8,1400≤w＜1500,6mm↑,일반,GI 외,250,61,20210106,STL,DP210106083,OO철강(주)XX공장,21/BAQ1711B-C01,임가공,GA,Skelp,SGACUD,0.707 x 1504.8 x C,1,21470,2619.0,21/BAQ1711B-P01,제품,21360,99.49,0.707 x 1490 x C,10660.0,10660,10629,AL,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
5,44327,0.4,1221.8,1221.8,0.0,0.4≤t≤0.5,1200≤w＜1300,정정,일반,GI 외,200,1469,20210511,STL,DP210504177,OO철강(주)XX공장,21/BAS8411C-C01,임가공,GI,Skelp,A653-CS/B,0.489 x 1221.8 x C,1,6710,1461.0,21/BAS8411C-P01,제품,6700,99.85,0.489 x 1221.8 x C,6700.0,6700,6710,XX,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
7,44392,4.5,1238.6,1220.0,18.59999999999991,1.9≤t＜5.0,1200≤w＜1300,6mm↑,일반,GI 외,430,2119,20210715,STL,DP210714076,OO철강(주)XX공장,21/BAV4857-C01,임가공,PO,Skelp,SAPH440-P,4.535 x 1238.6 x C,1,27360,620.0,21/BAV4857-P02,제품,26890,98.28,4.535 x 1220 x C,13450.0,13450,13475,AH,210.0,41.0,205.0,41.0,249.0,39.0,221,40,OO제철(주)XX,0,1
4,44299,0.6,1245.9,1194.0,51.90000000000009,0.6≤t＜0.7,1100≤w＜1200,6mm↑,일반,GI 외,200,967,20210413,STL,DP210407162,OO철강(주)XX공장,21/BAR1003A-C01,임가공,GA,Skelp,SGACUD,0.66 x 1245.9 x C,1,9220,1442.0,21/BAR1003A-P01,제품,8800,95.44,0.66 x 1194 x C,8800.0,8800,8836,AG,309.0,159.0,331.0,181.0,282.0,146.0,307,162,OO제철(주)XX,1,0
4,44306,1.4,1350.8,1335.0,15.799999999999956,1.4≤t＜1.5,1300≤w＜1400,6mm↑,일반,GI 외,360,1051,20210420,STL,DP210412099,OO철강(주)XX공장,21/BAS9031-C01,임가공,GI,Skelp,A653-CS/B,1.495 x 1350.8 x C,1,18110,1159.0,21/BAS9031-P04,제품,17760,98.07,1.495 x 1335 x C,4290.0,4290,4475,XX,272.0,61.0,331.0,98.0,292.0,71.0,298,77,OO제철(주)XX,0,1
5,44340,1.7,1444.6,1444.6,0.0,1.7≤t＜1.8,1400≤w＜1500,정정,60K,GI 외,430,1632,20210524,STL,DP210524040,OO철강(주)XX공장,21/CRJ449A-C01,임가공,GA,Skelp,SGAFC590DP,1.787 x 1444.6 x C,1,10970,549.0,21/CRJ449A-P01,제품,10940,99.73,1.787 x 1444.6 x C,10940.0,10940,10970,AG,469.0,172.0,461.0,172.0,407.0,120.0,446,155,OO제철(주)XX,1,0
1,44222,1.1,975.1,970.0,5.100000000000023,1.1≤t＜1.2,900≤w＜1000,6mm↓,일반,GI 외,240,345,20210126,STL,DP210122070,OO철강(주)XX공장,21/BAQ8963B-C01,임가공,GA,Skelp,SGACUD,1.197 x 975.1 x C,1,10180,1126.0,21/BAQ8963B-P01,제품,10140,99.61,1.197 x 970 x C,10140.0,10140,10127,AG,206.0,59.0,249.0,60.0,273.0,59.0,243,59,OO제철(주)XX,0,1
1,44212,0.6,889.4,870.0,19.399999999999977,0.6≤t＜0.7,800≤w＜900,6mm↑,일반,GI 오일링,200,188,20210116,STL,DP210111146,OO철강(주)XX공장,21/BAQ5387-C01,임가공,GI,Skelp,PSA-ES+Z,0.679 x 889.4 x C,1,15740,3360.0,21/BAQ5387-P01,제품,15470,98.28,0.679 x 870 x C,15470.0,15470,15397,QG,253.0,151.0,251.0,151.0,278.0,129.0,261,144,OO제철(주)XX,1,0
5,44321,0.8,1404.6,1404.6,0.0,0.8≤t＜0.9,1400≤w＜1500,정정,일반,GI 외,280,1274,20210505,STL,DP210504118,OO철강(주)XX공장,21/BAT5048A-C01,임가공,CR,Skelp,SPCC,0.891 x 1404.6 x C,1,10340,1063.0,21/BAT5048A-P01,제품,10320,99.81,0.891 x 1404.6 x C,10320.0,10320,10340,AH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OO제철(주)XX,0,1
4,44312,1.6,953.5,904.0,49.5,1.6≤t＜1.7,900≤w＜1000,6mm↑,80K,GI 외,320,1121,20210426,STL,DP210422063,OO철강(주)XX공장,21/CRA389-C01,임가공,CR,Skelp,ISC SPFC780DP,1.619 x 953.5 x C,1,20720,1730.0,21/CRA389-P02,제품,19660,94.88,1.619 x 904 x C,9820.0,9820,9822,AH,381.0,152.0,385.0,158.0,368.0,138.0,378,149,OO제철(주)XX,1,0
3,44267,2.0,1529.0,1529.0,0.0,1.9≤t＜5.0,1500≤w＜1600,정정,일반,GI 외,430,666,20210312,STL,DP210311069,OO철강(주)XX공장,21/BAR7159A-P01,임가공,PO,Skelp,KS-SPHC,2.028 x 1529 x C,1,11370,471.0,21/BAR7159A-P02,제품,10420,91.64,2.028 x 1529 x C,10420.0,10420,11370,AG,301.0,59.0,370.0,59.0,380.0,47.0,350,55,OO제철(주)XX,0,1
4,44287,1.0,949.8,936.0,13.799999999999956,1.0≤t＜1.1,900≤w＜1000,6mm↑,80K,GI 외,230,877,20210401,STL,DP210330081,OO철강(주)XX공장,21/CQY493-C01,임가공,CR,Skelp,SPFC780DP,1.017 x 949.8 x C,1,21420,2895.0,21/CQY493-P02,제품,21120,98.6,1.017 x 936 x C,10580.0,10580,10554,AH,273.0,138.0,288.0,150.0,283.0,136.0,281,141,OO제철(주)XX,1,0
